Locality,Strike/trend,Dip/plunge,GPS shorthand,,Inverted?,X GPS,Y GPS,Full GPS,Rock type/contact,Notes
gc,271,56,99,94,,283993,4755938,283993 4755938,Barrios bedding,
gd,304,74,96,68,,283964,4755676,283964 4755676,Oville bedding,
gf,310,28,12,90,,284117,4755904,284117 4755904,Barrios bedding,Seems to have been faulted and folded - may not be that accurate of all beds
gg,84,80,34,65,,284338,4755654,284338 4755654,Barrios bedding,
ha,315,67,78,57,,283776,4755566,283776 4755566,Oville bedding,
hb,316,64,92,48,,283918,4755479,283918 4755479,Oville bedding,
hb,308,76,88,40,,283876,4755395,283876 4755395,Barrios bedding,
,300,62,7,48,,284069,4755481,284069 4755481,Oville bedding,
,308,66,4,53,,284039,4755531,284039 4755531,Oville bedding,
hc,312,68,32,25,,284322,4755254,284322 4755254,Oville bedding,
ia,300,74,48,75,,283481,4754748,283481 4754748,La Vid bedding,
ia,301,80,48,75,,283481,4754748,283481 4754748,La Vid bedding,
ia,300,71,48,75,,283481,4754748,283481 4754748,La Vid bedding,
ib,295,73,49,85,,283487,4754847,283487 4754847,La Vid bedding,
ib,300,71,56,98,,283557,4754975,283557 4754975,La Vid bedding,
ic,285,64,58,99,,283583,4754991,283583 4754991,San Pedro bedding,
id,311,69,56,93,,283555,4754933,283555 4754933,San Pedro bedding,
ie,308,78,57,97,,283570,4754967,283570 4754967,San Pedro bedding,
,312,40,63,79,,283632,4754788,283632 4754788,La Vid bedding,may be folded
,300,56,66,76,,283658,4754759,283658 4754759,La Vid bedding,
if,312,54,2,45,,284019,4754450,284019 4754450,La Vid bedding,
if,295,39,76,60,,283764,4754595,283764 4754595,La Vid bedding,
ig,312,50,13,50,,284127,4754504,284127 4754504,San Pedro bedding,
,310,69,19,28,,284194,4754282,284194 4754282,La Vid bedding,
,325,62,20,28,,284195,4754282,284195 4754282,La Vid bedding,
,326,63,25,30,,284250,4754295,284250 4754295,La Vid bedding,
,323,60,29,25,,284287,4754254,284287 4754254,La Vid bedding,
ih,342,50,39,28,,284386,4754278,284386 4754278,San Pedro bedding,
ih,316,67,42,7,,284415,4754072,284415 4754072,La Vid bedding,
ih,317,62,61,11,,284609,4754112,284609 4754112,San Pedro bedding,
ii,317,64,60,8,,284604,4754076,284604 4754076,La Vid bedding,
ii,321,75,63,92,,284632,4753916,284632 4753916,La Vid bedding,
ij,315,81,68,95,,284680,4753951,284680 4753951,La Vid bedding,
ij,319,70,85,94,,284846,4753939,284846 4753939,San Pedro bedding,
ik,30,52,80,82,,284795,4753824,284795 4753824,La Vid bedding,
il,330,85,73,87,,284731,4753866,284731 4753866,La Vid bedding,1. fold on hill
il,145,63,71,87,,284710,4753869,284710 4753869,La Vid bedding,2. fold on hill
il,333,89,70,88,,284703,4753881,284703 4753881,La Vid bedding,3. fold on hill
